operator|version|certified|created|company|repos|ocpversion|sdkversion|operatortype|source-redhat|source-community|source-marketplace|source-certified|source-operatorhub|channel|default-channel
traefikee-operator.v2.1.1|2.1.1|false|2019-12-12T09:01:00Z|Containous|https://github.com/pingcap/tidb-operator|4.6|||||||yes||
traefikee-redhat-certified.v2.0.2|2.0.2|true|2019-12-12T09:01:00Z|Containous|https://github.com/turbonomic/t8c-install/tree/master/operator|4.6|||||yes|yes||alpha|
uma-operator.v1.0.0|1.0.0|false|2019-10-15T15:23:00Z|Broadcom, Inc.|https://github.gwd.broadcom.net/BROADCOM/uma-operator|4.6|||||yes|yes||unknown|unknown
universalagent-operator.v0.0.2|0.0.1|false|2020-04-14 11:38:00|Stonebranch|registry.marketplace.redhat.com/rhm/stonebranch/stonebranch-operator@sha256:a99b1c14a08cbaa2facd56c2a3125eefd59349ab59d98f56b58e9cbc167131a2|4.6|||||yes|yes||unknown|unknown
vaultoperator.v0.4.10|0.4.10|false|2019-03-07T08:00:00Z|Banzai Cloud|https://github.com/banzaicloud/bank-vaults/tree/master/operator|4.6|||||||yes|alpha|
verticalpodautoscaler.4.6.0-202010200139.p0.3|4.6.0-202010200139.p0|false|2019-10-14T12:17:13Z|Red Hat|https://github.com/openshift/vertical-pod-autoscaler-operator|4.6|||yes|||||4.6|4.6
vfunction-server-operator.v1.0.1|1.0.1|Red Hat certified|2020-05-18 20:00:00|vFunction|registry.marketplace.redhat.com/rhm/stonebranch/stonebranch-operator@sha256:a99b1c14a08cbaa2facd56c2a3125eefd59349ab59d98f56b58e9cbc167131a2|4.6|||||yes|yes||unknown|unknown
vprotect-operator.v0.0.1|0.0.1|false|2020-04-17T10:40:45Z|Storware||4.6|||||yes|yes|| alpha| ""
wavefront-operator.v0.1.0|0.1.0|true|2019-11-26 01:09:59|VMware|https://github.com/wavefrontHQ/wavefront-operator|4.6|v0.10.1-0.20190912163340-c0e167d4f396|golang||||yes|yes|alpha|
web-terminal.v1.0.1|1.0.1|false|2020-05-27T05:12:57Z|Red Hat|https://github.com/devfile/devworkspace-operator|4.6|v0.17.0|golang|yes||||||
wildfly-operator.v0.4.1|0.4.1|false|2020-09-18T08:00:00Z|WildFly|https://github.com/wildfly/wildfly-operator|4.6|v0.17.2|golang|||||yes|alpha|alpha
wso2am-operator.v1.1.0|1.1.0|false|2020-09-07T03:00:00.000Z|WSO2|https://github.com/wso2/k8s-wso2am-operator|4.6|||||||yes|stable|stable
xray-operator.v1.1.4|1.1.4|true|2020-05-22 00:00:00+00:00|JFrog|https://github.com/jfrog/JFrog-Cloud-Installers/tree/openshift4/Openshift4|4.6||||||yes||unknown|unknown
xrootd-operator.v0.2.1|0.2.1|true|2020-08-30 17:20:00|Xrootd community|https://github.com/xrootd/xrootd-k8s-operator|4.6|||||||yes| alpha| ""
yugabyte-operator.v0.0.1|0.0.1|true|2020-08-30 17:20:00|YugabyteDB|https://github.com/yugabyte/yugabyte-operator|4.6|v0.17.1|golang|||||yes||
yugabyte-operator.v0.9.0|0.9.0|true|2020-03-31 12:00:00|Yugabyte Inc|https://github.com/yugabyte/yugabyte-operator|4.6|v0.17.1|golang||||yes|||
zabbix-operator-certified.v0.0.2|0.0.2|true|2020-09-21T08:03:44Z|Zabbix LLC||4.6|||||yes|yes|| alpha| ""
zoperator.v0.3.6|0.3.6|true|August 26, 2020|Zadara|https://github.com/zadarastorage/zadara-operator|4.6||||||yes|yes||
zts-xcrypt-operator.v0.0.11|0.0.11|false|2020-07-07T15:30:13.97Z|Zettaset||4.6|||||yes|yes|| alpha| ""
