operator|version|certified|created|company|repos|ocpversion|sdkversion|operatortype|source-redhat|source-community|source-marketplace|source-certified|source-operatorhub|channel|default-channel
datadog-operator.v0.3.2|0.3.2|true|2020-009-16 14:14:02|Datadog|https://github.com/DataDog/datadog-operator|4.6|||||||yes| alpha| ""
datagrid-operator.v8.0.3|8.0.3|false|2020-08-07T16:26:17Z|Red Hat|https://github.com/infinispan/infinispan-operator|4.6|v0.15.2|golang|yes|||||,dev-preview,stable|dev-preview
datagrid-operator.v8.1.1|8.1.1|false|2020-10-06T20:33:23Z|Red Hat|https://github.com/infinispan/infinispan-operator|4.6|v0.15.2|golang|yes|||||,dev-preview,stable|dev-preview
dell-csi-operator.v1.0.0|1.0.0|Yes|2020-03-03T11:30:59Z|Dell EMC|https://github.com/dell/dell-csi-operator|4.6|||||||yes||
dell-csi-operator.v1.1.0|1.1.0|true|2020-03-03T11:30:59Z|Dell EMC|https://github.com/dell/dell-csi-operator|4.6|||||yes|yes|||
densify-operator.v0.0.2|0.0.2|false|2020-08-19T:12:00:00Z|Densify|https://github.com/densify-dev/Container-Optimization-Data-Forwarder|4.6|||||yes|yes|||
deployment-validation-operator.v0.0.10|0.0.10|false|08/25/2020|Red Hat|https://github.com/app-sre/dv-operator|4.6|v0.17.0|golang|||||yes| "alpha"| "alpha"
ditto-operator.v0.1.1|0.1.1|false|2020-07-19T19:15:00Z|Jens Reimann|https://github.com/ctron/ditto-operator|4.6|||||||yes|alpha|alpha
dynatrace-monitoring.v0.8.2|0.8.2|false|2020-08-24T15:00:00Z|Dynatrace LLC|https://github.com/Dynatrace/dynatrace-oneagent-operator|4.6|v0.17.0|golang|||yes|yes|yes|alpha|
eap-operator.v2.0.0|2.0.0|false|2020-09-17T08:00:00Z|Red Hat|https://github.com/wildfly/wildfly-operator|4.6|v0.17.2|golang|yes|||||alpha|alpha
eclipse-che.v7.19.2|7.19.2|false|2020-09-30T14:30:51Z|Eclipse Foundation|https://github.com/eclipse/che-operator|4.6|v0.0.0-00010101000000-000000000000|golang|||||yes| nightly| nightly
eddi-operator.v1.0.2|1.0.2|false|2020-05-26|LABS.AI|https://github.com/labsai/EDDI-operator/|4.6|v0.18.1|ansible|||yes|yes|| alpha| ""
elastic-cloud-eck.v1.2.1|1.2.1|false|2020-08-12 07:39:56|Elastic|https://github.com/elastic/cloud-on-k8s|4.6|||||||yes||
elasticsearch-operator.4.6.0-202010200139.p0.2|4.6.0-202010200139.p0|false|2019-02-20T08:00:00Z|Red Hat, Inc|https://github.com/wildfly/wildfly-operator|4.6|v0.17.2|golang|yes|||||alpha|alpha
ember-csi-operator.v0.9.1|0.9.1|false|2020-06-25:16:07:00|Red Hat|https://github.com/embercsi/ember-csi-operator|4.6|||||||yes|beta|beta
enc-key-sync-operator.v0.0.1|0.0.1|false|2020-07-21 20:00:00|IBM|https://github.com/IBM/k8s-enc-image-operator|4.6|||||||yes||
enmasse.0.32.2|0.32.2|false|2019-02-19T00:00:00Z|EnMasse|https://github.com/EnMasseProject/enmasse|4.6|Replacements|golang|||||yes| ${olm.package.channel}| ${olm.package.channel}
esindex-operator.v0.1.0|0.1.0|false|2019-08-09T09:40:38Z|IBM|https://github.com/IBM/esindex-operator|4.6|||||||yes|alpha|
etcdoperator-community.v0.6.1|0.6.1|false|2019-08-09T09:40:38Z|CoreOS, Inc|https://github.com/IBM/esindex-operator|4.6|||||||yes|alpha|
etcdoperator.v0.9.4|0.9.4|false|2019-02-28 01:03:00|CNCF|https://github.com/coreos/etcd-operator|4.6|||||||yes||
etcdoperator.v0.9.4-clusterwide|0.9.4-clusterwide|false|2019-02-28 01:03:00|CNCF|https://github.com/coreos/etcd-operator|4.6|||||||yes||
eunomia.v0.1.7|0.1.7|false|11/18/2019|Kohl's Technology|https://github.com/KohlsTechnology/eunomia|4.6|v0.12.1-0.20191112211508-82fc57de5e5b|golang|||||yes||
event-streams-topic.v0.1.1|0.1.1|false|2019-10-29T13:52:40Z|IBM|https://github.com/IBM/event-streams-topic|4.6|||||||yes|alpha|
ext-postgres-operator.v0.4.1|0.4.1|false|2019-12-19T14:12:00Z|movetokube.com|https://github.com/movetokube/postgres-operator|4.6|v0.17.1|golang|||||yes|stable|
f5-bigip-ctlr-operator.v1.2.0|1.2.0|false|2020-08-21|F5 Networks Inc.|https://github.com/F5Networks/k8s-bigip-ctlr|4.6||||||yes||beta|
falco-operator.v0.7.6|0.7.6|false|2019-03-12T18:30:00Z|Sysdig|https://github.com/falcosecurity/falco-operator/tree/helm-based-operator|4.6|||||||yes|unknown|unknown
falco-operator.v1.2.0|1.2.0|false|2020-07-07 18:30:00|Sysdig|https://github.com/sysdiglabs/falco-operator/|4.6||||||yes|| alpha| ""
federatorai.v4.2.603|4.2.603|true|2019-10-07T18:00:00Z|ProphetStor Data Services, Inc.|https://access.redhat.com/containers/#/registry.connect.redhat.com/prophetstor/federatorai-operator|4.6||||yes||||unknown|unknown
federatorai.v4.3.958|4.3.958|true|2020-09-18T13:00:00Z|ProphetStor Data Services, Inc.|https://access.redhat.com/containers/#/registry.connect.redhat.com/prophetstor/federatorai-operator|4.6||||||yes|yes|unknown|unknown
file-integrity-operator.v0.1.6|0.1.6|false|2019-02-20T08:00:00Z|Red Hat|https://github.com/wildfly/wildfly-operator|4.6|v0.17.2|golang|yes|||||alpha|alpha
fp-predict-plus-operator.v0.0.4|0.0.4|true|2020-05-16 00:00:00|Findability Sciences, LLC|https://access.redhat.com/containers/#/registry.connect.redhat.com/prophetstor/federatorai-operator|4.6||||||yes||unknown|unknown
fuse-console.v7.7.1|7.7.1|false|2020-06-03T15:17:00Z|Red Hat|https://github.com/hawtio/hawtio-operator|4.6|||yes||||| alpha| ""
fuse-online-operator.v7.7.1|7.7.1|false|2020-06-04T16:12:00Z|Red Hat|https://github.com/syndesisio/syndesis/|4.6|||yes||||| alpha| ""
gitlab-operator.v0.1.12|0.1.12|false|2020-03-11T13:29:00Z|GitLab, Inc|https://gitlab.com/ochienged/gitlab-operator|4.6||||||yes||unknown|unknown
gpu-operator-certified.v1.1.7-r2|1.1.7-r2|false|2019-02-27T00:21:25Z|NVIDIA Corporation|http://github.com/NVIDIA/gpu-operator|4.6|v0.17.0|golang||||yes||unknown|unknown
grafana-operator.v2.0.0|2.0.0|False|2019-07-23 00:00:00|Red Hat|https://github.com/integr8ly/grafana-operator|4.6|v0.18.2|golang|||||yes|alpha|
grafana-operator.v3.2.0|3.2.0|False|2020-04-20 00:00:00|Red Hat|https://github.com/integr8ly/grafana-operator|4.6|v0.18.2|golang|||||yes|alpha|
growth-stack-operator.v1.0.0|1.0.0|true|2020-09-19T16:00:00Z|IBM Digital Growth and Commerce|https://github.ibm.com/IBM-Analytics-Services/instrumentation-hybrid|4.6|||||yes|yes||unknown|unknown
halkyon.v0.1.8|0.1.8|false|2019-08-21|Snowdrop Team|https://github.com/halkyonio/operator|4.6|v0.8.2|golang|||||yes|alpha|
ham-deploy.v0.1.0|0.1.0|false|2020-05-12 00:00:00|IBM|https://github.com/hybridapp-io/ham-deploy|4.6|v0.18.0|golang|||||yes||
hawkbit-operator.v0.1.4|0.1.4|false|2020-09-07T16:23:00Z|Jens Reimann|https://github.com/ctron/hawkbit-operator|4.6|||||||yes|alpha|alpha
hazelcast-enterprise-operator.v0.3.3|0.3.3|true|2020-10-23T11:59:59Z|Hazelcast, Inc|https://github.com/hazelcast/hazelcast-operator|4.6|||||yes|yes|yes||
hazelcast-jet-enterprise-operator.v0.2.0|0.2.0|true|2020-04-16 11:59:59|Hazelcast Inc.|https://github.com/hazelcast/hazelcast-jet-operator|4.6|||||yes|yes|||
hazelcast-jet-enterprise-operator.v0.3.0|0.3.0|false|2020-10-26T11:59:59Z|Hazelcast Inc.|https://github.com/hazelcast/hazelcast-jet-operator|4.6|||||||yes||
hazelcast-jet-operator.v0.3.0|0.3.0|false|2020-10-26T11:59:59Z|Hazelcast Inc.|https://github.com/hazelcast/hazelcast-jet-operator|4.6|||||||yes||
hazelcast-operator.v0.3.3|0.3.3|false|2020-10-22T11:59:59Z|Hazelcast, Inc|https://github.com/hazelcast/hazelcast-operator|4.6|||||||yes||
hive-operator.v1.0.11|1.0.11|false|2020-10-07T11:48:51Z|Red Hat|https://github.com/openshift/hive|4.6|||||||yes||
hive-operator.v1.0.3-7-gba4793f|1.0.3-7-gba4793f|false|2020-05-08T15:03:21Z|Red Hat|https://github.com/openshift/hive|4.6|||||||yes||
hive-operator.v1.0.5|1.0.5|false|2020-06-22T15:46:24Z|Red Hat|https://github.com/openshift/hive|4.6|||||||yes||
hls-service-operator.v0.0.1|0.0.1|true|2020-03-24|HERE Technologies|https://github.com/heremaps/here-hls-service-broker|4.6||||||yes||unknown|unknown
hpa-operator.v0.1.6|0.1.6|false|2019-04-09T08:00:00Z|Banzai Cloud|https://github.com/banzaicloud/hpa-operator|4.6|||||||yes||
hpe-csi-operator.v1.2.0|1.2.0|true|Mon Jun  1 12:54:27 PDT 2020|HPE|https://github.com/hpe-storage/co-deployments|4.6|||||||yes|stable|stable
hpe-csi-operator.v1.3.0|1.3.0|true|Tue Aug 18 13:26:38 PDT 2020|HPE|https://github.com/hpe-storage/co-deployments|4.6||||||yes||stable|stable
ibm-application-gateway-operator.v0.9.0|0.9.0|false|2020-09-04T21:30:05Z|IBM|https://github.com/IBM-Security/ibm-application-gateway-operator|4.6|v0.16.0|golang|||||yes||
ibm-block-csi-operator.v1.3.0|1.3.0|true|2020-08-30T15:15:00Z|IBM|https://github.com/IBM/ibm-block-csi-operator|4.6|v0.11.1-0.20191012024916-f419ad3f3dc5|golang|||yes|yes|yes|stable|stable
ibm-quantum-operator.v0.1.0|0.1.0|false|2020-008-28 22:25:53|IBM Quantum|https://github.com/redhat-et/ibm-quantum-operator|4.6|||||||yes|alpha|alpha
ibm-spectrum-scale-csi-operator.v2.0.0|2.0.0|false|Tue Jun  9 11:18:01 EDT 2020|IBM|https://github.com/IBM/ibm-spectrum-scale-csi/|4.6||||||yes|yes| alpha| ""
ibm-spectrum-symphony-operator.v1.0.0|1.0.0|true|Mon  6 Apr 2020 11:00:00 EDT|IBM|https://github.com/IBM/ibm-spectrum-symphony-operator|4.6||||||yes|||
ibmcloud-iam-operator.v0.1.0|0.1.0|false|2020-08-12T13:36:55Z|IBM|https://github.com/IBM/ibmcloud-iam-operator|4.6|v0.13.0|golang|||||yes|alpha|
ibmcloud-operator.v0.1.11|0.1.11|false|2020-06-25T20:38:46Z|IBM|https://github.com/IBM/cloud-operators|4.6|||||||yes||
ibmcloud-operator.v1.0.0|1.0.0|false|2020-09-23T23:57:03Z|IBM|https://github.com/IBM/cloud-operators|4.6|||||||yes||
infinibox-operator.v0.0.1|0.0.1|false|2020-03-11 10:20:01|Infinidat|https://github.com/Infinidat/infinibox-csi-driver|4.6||||||yes||alpha|alpha
infinispan-operator.v1.1.2|1.1.2|false|2020-05-15T08:42:04Z|Infinispan|https://github.com/infinispan/infinispan-operator|4.6|v0.15.2|golang|||||yes|,dev-preview,stable|dev-preview
infinispan-operator.v2.0.4|2.0.4|false|2020-10-09T15:00:00Z|Infinispan|https://github.com/infinispan/infinispan-operator|4.6|v0.15.2|golang|||||yes|,dev-preview,stable|dev-preview
insightedge-enterprise-operator.v15.0.1|15.0.1|true|2020-04-17 14:59:59|Gigaspaces|https://github.com/IBM/ibm-block-csi-operator|4.6|v0.11.1-0.20191012024916-f419ad3f3dc5|golang|||yes|yes||stable|stable
instana-agent-operator.v0.3.6|0.3.6|false|2020-09-09T19:33:54Z|Instana|https://github.com/instana/instana-agent-operator|4.6|||||yes|yes|yes||
iot-simulator.0.1.0|0.1.0|false|2019-03-19 00:00:00|Jens Reimann|https://github.com/ctron/iot-simulator-operator|4.6|v0.3.0|golang|||||yes|preview|
istio-operator.0.1.6|0.1.6|false|2019-04-01T08:00:00Z|Banzai Cloud|https://github.com/banzaicloud/istio-operator/tree/release-1.1|4.6|||||||yes|unknown|unknown
ivory-server-operator.v1.0.0|1.0.0|false|2019-09-01 12:00:00|GT Software, Inc.|https://github.com/instana/instana-agent-operator|4.6|||||yes|yes|||
jaeger-operator.v1.13.2-1|1.13.2-1|false|2019-07-05T11:16:15+00:00|Red Hat, Inc.|https://github.com/jaegertracing/jaeger-operator|4.6|v0.18.2|golang|yes|||||stable|stable
jaeger-operator.v1.17.6|1.17.6|false|2020-07-27T00:00:00+00:00|Red Hat|N/A|4.6|||yes|||||unknown|unknown
jaeger-operator.v1.20.0|1.20.0|false|2019-09-04T13:28:40+00:00|CNCF|https://github.com/jaegertracing/jaeger-operator|4.6|v0.18.2|golang|||||yes|stable|stable
jenkins-operator.v0.3.0|0.3.0|false|2019-09-04T13:28:40+00:00|VirtusLab|https://github.com/jenkinsci/kubernetes-operator|4.6|v0.17.0|golang|||||yes|alpha|alpha
joget-dx-openshift-operator.v0.0.2|0.0.1|true|2019-07-23 12:59:59|Joget, Inc|https://github.com/instana/instana-agent-operator|4.6|||||yes|yes|||
joget-openshift-operator.v0.0.4|0.0.4|true|2019-07-23 12:59:59|Joget, Inc|github.com/jogetworkflow/jw-community|4.6|||||yes|yes||unknown|unknown
k10-helm-operator.2.5.18|2.5.18|true|2020-04-22 23:00:00|Kasten, Inc.|github.com/jogetworkflow/jw-community|4.6|||||yes|yes||unknown|unknown
k8s-triliovault-cluster.v1.1.1|1.1.1|false|2020-04-27 17:12:00|Trilio|https://github.com/triliovault-k8s-issues/triliovault-k8s-issues|4.6|||||yes|yes|||
k8s-triliovault-namespaced.v1.1.1|1.1.1|false|2020-04-27 17:12:00|Trilio|https://github.com/triliovault-k8s-issues/triliovault-k8s-issues|4.6|||||yes|yes|||
keda.v1.5.0|1.5.0|false|2020-07-08T00:00:00.000Z|KEDA Community|https://github.com/kedacore/keda-olm-operator|4.6|||||||yes||
keycloak-operator.v11.0.0|11.0.0|False|2020-07-24 00:00:00|Red Hat|https://github.com/keycloak/keycloak-operator|4.6|v0.18.2|golang|||||yes|alpha|alpha
kiali-operator.v1.12.16|1.12.16|false|2020-08-05T00:00:00Z|Red Hat|https://github.com/kiali/kiali|4.6|||yes||||||
kiali-operator.v1.25.0|1.25.0|false|2020-10-09T00:00:00Z|Kiali|https://github.com/kiali/kiali|4.6|||||||yes||
klusterlet.v0.2.0|0.2.0|false|2020-10-15T12:00:31Z|Red Hat, Inc.|https://github.com/open-cluster-management/registration-operator|4.6|||||||yes| stable| stable
knative-eventing-operator.v0.13.1|0.13.1|false|2020-03-27T10:00:00Z|The Knative Authors|https://github.com/knative/eventing-operator|4.6|||||||yes|alpha|alpha
knative-operator.v0.18.1|0.18.1|false|2020-10-27T00:00:00Z|The Knative Authors|https://github.com/knative/operator|4.6|||||||yes|alpha|
knative-serving-operator.v0.13.1|0.13.1|false|2020-03-04T00:00:00Z|The Knative Authors|https://github.com/knative/serving-operator|4.6|||||||yes|alpha|alpha
kogito-operator.v0.16.0|0.16.0|false|2019-08-22T13:12:22Z|Red Hat|https://github.com/kiegroup/kogito-cloud-operator|4.6|v0.18.2|golang|||||yes|,alpha,dev-preview,original_0_9_0,original_0_8_0,original_0_7_0|alpha
kong.v0.3.0|0.3.0|true|2020-04-10T17:26:45Z|Kong Inc|https://github.com/kong/kong-operator|4.6|v0.16.0|helm|||yes|yes||alpha|
kong.v0.5.0|0.5.0|false|2020-08-05T16:07:00Z|Kong Inc.|https://github.com/kong/kong-operator|4.6|v0.16.0|helm|||||yes|alpha|
kube-arangodb.v1.0.1|1.0.1|true|2019-11-30 22:40:00|ArangoDB GmbH|https://github.com/arangodb/kube-arangodb|4.6||||||yes|||
kube-arangodb.v1.0.2|1.0.1|true|2019-11-30 22:40:00|ArangoDB GmbH|https://github.com/arangodb/kube-arangodb|4.6|||||||yes||
kubefed-operator.v0.1.0|0.1.0|false|2019-06-14T00:00:00Z|Red Hat|https://github.com/openshift/kubefed-operator|4.6|||||||yes|alpha|
kubeflow.v1.0.0|1.0.0|False|2020-03-19T00:00:00Z|Kubeflow|https://github.com/kubeflow/kfctl|4.6|v0.13.0|golang|||||yes|alpha|alpha
kubemod.v0.6.0|0.6.0|false|2020-10-16T12:00:00+00:00|KubeMod|https://github.com/kubemod/kubemod|4.6|||||||yes||
kubemq-operator.v0.3.2|0.3.2|false|2020-02-16T18:00:00.000Z|Kubemq.io|https://github.com/kubemq-io/kubemq-operator|4.6|||||||yes|unknown|unknown
kubemq-operator.v0.5.1|0.5.1|false|2020-03-11T12:00:00.000Z|Kubemq.io|https://github.com/kubemq-io/kubemq-operator|4.6|||||||yes|unknown|unknown
kubemq-operator.v1.1.0|1.1.0|false|2020-03-11 12:00:00+00:00|Kubemq.io|https://github.com/kong/kong-operator|4.6|v0.16.0|helm|||yes|yes||alpha|
kubernetes-imagepuller-operator.v0.0.3|0.0.3|false||Red Hat, Inc.|https://github.com/che-incubator/kubernetes-image-puller-operator|4.6|v0.15.2|golang|||||yes|stable|stable
kubestone.v0.4.0|0.4.0|false|2019-10-18T12:32:00Z|xridge.io|https://github.com/xridge/kubestone|4.6|||||||yes||
kubeturbo-operator.v7.21.0|7.21.0|false|2019-05-01T00:00:00.000Z|Turbonomic, Inc.|https://github.com/turbonomic/kubeturbo/tree/master/deploy/kubeturbo-operator|4.6|||||||yes|unknown|unknown
kubeturbo-operator.v8.0.0|8.0.0|false|2019-05-01T00:00:00Z|Turbonomic, Inc.|https://github.com/turbonomic/kubeturbo/tree/master/deploy/kubeturbo-operator|4.6|||||yes|yes|yes|unknown|unknown
kubevirt-hyperconverged-operator.v2.1.0|2.1.0|false|2019-10-17 09:34:37|KubeVirt project|https://github.com/kubevirt/hyperconverged-cluster-operator|4.6|v0.19.1|golang|yes||||| 1.3.0| 1.3.0
kubevirt-hyperconverged-operator.v2.2.0|2.2.0|false|2020-01-26 16:24:03|KubeVirt project|https://github.com/kubevirt/hyperconverged-cluster-operator|4.6|v0.19.1|golang|yes||||| 1.3.0| 1.3.0
kubevirt-hyperconverged-operator.v2.3.0|2.3.0|true|2020-04-27 14:59:35|Red Hat|https://github.com/kubevirt/hyperconverged-cluster-operator|4.6|v0.19.1|golang|yes||||| 1.3.0| 1.3.0
kubevirt-hyperconverged-operator.v2.4.2|2.4.2|true|2020-09-29 09:20:17|Red Hat|https://github.com/kubevirt/hyperconverged-cluster-operator|4.6|v0.19.1|golang|yes||||| 1.3.0| 1.3.0
kubevirtoperator.0.18.1|0.18.1|false|2019-06-13 10:28:08|KubeVirt project|https://github.com/kubevirt/kubevirt|4.6|||||||yes||
lib-bucket-provisioner.v1.0.0|1.0.0|false|2014-07-19 07:02:32.267701|Red Hat|https://github.com/kube-object-storage/lib-bucket-provisioner|4.6|||||||yes|alpha|alpha
lightbend-console-operator.v0.0.1|0.0.1|false|2019-09-18T00:00:00Z|Lightbend, Inc.|https://github.com/lightbend/console-charts/tree/master/operator|4.6|||||||yes|alpha|
linstor-operator.v1.0.0-dev4-ef10773|1.0.0-dev4+ef10773|true|2019-05-01T00:00:00Z|LINBIT|https://github.com/piraeusdatastore/piraeus-operator|4.6|v0.16.0|golang|||yes||||
linstor-operator.v1.0.0-dev9.bc86329|1.0.0-dev9.bc86329|true|2020-10-13T14:46:07+00:00|LINBIT|https://github.com/piraeusdatastore/piraeus-operator|4.6|v0.16.0|golang||||yes|||
linstor-operator.v1.1.0|1.1.0|true|2020-10-14T13:16:20+00:00|LINBIT|https://github.com/piraeusdatastore/piraeus-operator|4.6|v0.16.0|golang|||yes|yes|||
local-storage-operator.4.6.0-202010200139.p0.2|4.6.0-202010200139.p0|true|2019-08-14T00:00:00Z|Red Hat|https://github.com/openshift/local-storage-operator|4.6|v0.16.0|golang|yes||||| preview| preview
logging-operator.v0.2.0|0.2.0|false|9-07-2020|Opstree Solutions|https://github.com/OT-CONTAINER-KIT/logging-operator|4.6|||||||yes||
mariadb-operator.v0.0.4|0.0.4|true|2020-04-07T11:17:00Z|Manoj Dhanorkar|https://github.com/abalki001/mariadb-operator|4.6|v0.16.1-0.20200402040752-a0a5778d9957|golang|||||yes||
mattermost-operator.v0.5.0|0.5.0|false|2019-07-18 09:42:00|Mattermost|https://github.com/mattermost/mattermost-operator|4.6|||||||yes||
mcad-operator.v0.1.9|0.1.9|false|2019-07-18 09:42:00|IBM|https://github.com/mattermost/mattermost-operator|4.6|||||||yes||
memsql-operator.v1.2.1|1.2.1|true|2020-08-19 21:52:47.341572+00:00|MemSQL|https://github.com/piraeusdatastore/piraeus-operator|4.6|v0.16.0|golang|||yes|yes|||
metering-operator-upstream.v4.2.0|4.2.0|false|2019-01-01 11:59:59|Red Hat|https://github.com/operator-framework/operator-metering|4.6|||||||yes| "4.7"| "4.7"
metering-operator.4.6.0-202010200139.p0.2|4.6.0-202010200139.p0|false|2019-01-01T11:59:59Z|Red Hat|https://github.com/kube-reporting/metering-operator|4.6|||yes||||| "4.7"| "4.7"
microcks-operator.v0.3.0|0.3.0|false|2020-04-07T19:21:00Z|Microcks.io|https://github.com/microcks/microcks-ansible-operator|4.6|v0.16.0|ansible|||||yes||
microcks-operator.v1.1.0|1.1.0|false|2020-10-26T07:57:11Z|Microcks.io|https://github.com/microcks/microcks-ansible-operator|4.6|v0.16.0|ansible|||||yes||
minio-operator.v1.0.3|1.0.3|false|2019-10-21T00:00:00.000Z|MinIO, Inc.|https://github.com/minio/minio-operator|4.6|||||||yes||
mongodb-enterprise-advanced-ibm.v1.6.3|1.6.3|true|2020-07-06T10:00:00Z|IBM|https://github.com/mongodb/mongodb-enterprise-kubernetes|4.6|||||yes|yes|||
mongodb-enterprise.v1.8.0|1.8.0|true|2020-09-02T15:33:27Z|MongoDB, Inc|https://github.com/mongodb/mongodb-enterprise-kubernetes|4.6|||||yes|yes|yes||
mtc-operator.v1.2.5|1.2.5|false|2019-07-25T10:21:00Z|Red Hat|https://github.com/konveyor/mig-operator|4.6|latest|ansible|yes||||| development| development
mtc-operator.v1.3.1|1.3.1|false|2019-07-25T10:21:00Z|Red Hat|https://github.com/konveyor/mig-operator|4.6|latest|ansible|yes||||| development| development
multicluster-operators-subscription.v0.1.2|0.1.2|false|2020-03-24T17:00:00Z|Red Hat|https://github.com/open-cluster-management/multicloud-operators-subscription|4.6|v0.18.0|golang|||||yes||
myvirtualdirectory.1.0.0|1.0.0|false|2019-04-15|Tremolo Security, Inc.|https://github.com/TremoloSecurity/|4.6|||||||yes| alpha| ""
neuvector-operator.v1.0.0|1.0.0|false|2019-11-18T02:09:59Z|NeuVector|https://github.com/neuvector/neuvector-operator|4.6|v0.12.0|helm|||||yes|alpha|alpha
neuvector-operator.v1.0.1|1.0.1|false|2019-11-18 02:09:59|NeuVector|https://github.com/neuvector/neuvector-operator|4.6|v0.12.0|helm|||yes|yes||alpha|alpha
nexus-operator.v0.3.0|0.3.0|false|2019-11-16T13:12:22Z|m88i Labs|https://github.com/m88i/nexus-operator|4.6|||||||yes| alpha| ""
nfd-operator.v0.1.0|0.1.0|false|2019-05-30T00:00:00Z|Red Hat|https://github.com/kubernetes-sigs/node-feature-discovery-operator|4.6|v0.4.1-0.20190129222657-43d37ce85826|golang|||||yes||
nginx-ingress-operator.v0.0.4|0.0.4|true|2020-03-03 12:59:59+00:00|NGINX Inc|https://github.com/nginxinc/nginx-ingress-operator|4.6|v0.17.2|golang||||yes||alpha|alpha
node-red-operator.v0.0.2|0.0.2|false|2020-05-29T12:00:00Z|IBM-Edge|https://github.com/rhm-samples/node-red-operator/|4.6|||||yes|yes|| alpha| ""
noobaa-operator.v2.1.1|2.1.1|false|2019-07-08T13:10:20.940Z|NooBaa|https://github.com/noobaa/noobaa-operator|4.6|v0.17.0|golang|||||yes|alpha|alpha
noobaa-operator.v2.3.0|2.3.0|false|2019-07-08T13:10:20.940Z|NooBaa|https://github.com/noobaa/noobaa-operator|4.6|v0.17.0|golang|||||yes|alpha|alpha
nsm-operator.v0.0.1|0.0.1|false|2020-01-28T10:45:31.000Z|networkservicemesh.io|https://github.com/acmenezes/nsm-operator|4.6|v0.12.0|golang|||||yes|alpha|alpha
nsx-container-plugin-operator.v0.1.0|0.1.0|True|2020-05-29T12:00:00Z|VMware|https://github.com/vmware/nsx-container-plugin/operator|4.6||||||yes||alpha|
nuodb-operator.v2.0.2|2.0.2|true|2019-06-06 12:59:59|NuoDB, Inc.|https://github.com/nuodb/nuodb-operator|4.6|v0.9.1-0.20190806200632-6c7039c37324|golang|||yes|||alpha|
nuodb-operator.v2.0.3|2.0.3|true|2019-06-06 12:59:59|NuoDB, Inc.|https://github.com/nuodb/nuodb-operator|4.6|v0.9.1-0.20190806200632-6c7039c37324|golang||||yes|yes|alpha|
nuxeo-operator.v0.7.1|0.7.1|false|2020-09-26T00:00:00Z|Eric Ace|https://github.com/aceeric/nuxeo-operator|4.6|||||||yes| alpha| alpha
nxiq-operator-certified.v1.99.0-1|1.99.0-1|true|2020-07-20|Sonatype|https://github.com/sonatype/operator-iq|4.6|v0.17.0|helm||||yes||stable|stable
nxrm-operator-certified.v3.26.1-1|3.26.1-1|true|2020-07-17|Sonatype|https://github.com/sonatype/operator-nxrm3|4.6|v0.16.0|helm||||yes||stable|stable
ocs-operator.v4.3.0|4.3.0|false|2020-04-06 21:53:38|Red Hat, Inc|https://github.com/openshift/ocs-operator|4.6|v0.17.0|golang|yes||||| alpha| alpha
ocs-operator.v4.4.2|4.4.2|false|2020-07-29 18:34:25|Red Hat, Inc|https://github.com/openshift/ocs-operator|4.6|v0.17.0|golang|yes||||| alpha| alpha
ocs-operator.v4.5.1|4.5.1|false|2020-10-13 13:58:20|Red Hat|https://github.com/openshift/ocs-operator|4.6|v0.17.0|golang|yes||||| alpha| alpha
open-liberty-0.0.1|0.0.1|false|2019-05-16T12:00:00.000-0500|IBM|https://github.com/OpenLiberty/open-liberty-operator|4.6|v0.15.2|golang|||||yes|beta|beta
open-liberty-operator.v0.7.0|0.7.0|true|2020-07-22 09:00:00|IBM|https://github.com/OpenLiberty/open-liberty-operator|4.6|v0.15.2|golang|||||yes|beta|beta
openebsoperator.v1.5.0|1.5.0|false|2020-01-11T15:52:12Z|MayaData|https://github.com/openebs/helm-operator|4.6|v0.7.0|helm|||||yes|alpha|
openshift-pipelines-operator.v1.0.1|1.0.1|false|2020-05-07T05:39:25Z|Red Hat|https://github.com/openshift/tektoncd-pipeline-operator|4.6|v0.17.2|golang|yes||||| canary| canary
openshift-pipelines-operator.v1.1.1|1.1.1|false|2020-05-07T05:39:25Z|Red Hat|https://github.com/openshift/tektoncd-pipeline-operator|4.6|v0.17.2|golang|yes||||| canary| canary
openshift-qiskit-operator.v0.1.0|0.1.0|false|2020-006-28 22:25:53|IBM Quantum|https://github.com/qiskit-community/openshift-quantum-operators/tree/master/operators-examples/openshift-qiskit-operator|4.6|||||||yes|unknown|unknown
openunison.1.0.0|1.0.0|true|2020-01-08|Tremolo Security, Inc.|https://github.com/TremoloSecurity/openunison-k8s-operator|4.6|||||yes|yes|||
opsmx-spinnaker-operator.v1.20.3|1.20.3|false|2019-04-08 19:49:35|OpsMx|https://github.com/qiskit-community/openshift-quantum-operators/tree/master/operators-examples/openshift-qiskit-operator|4.6|||||||yes|unknown|unknown
orca-operator.v1.0.197|1.0.197|true||Tufin|https://github.com/Tufin/orca-operator|4.6|||||yes|yes||beta|
perceptilabs-operator.v1.0.16|1.0.16|false|2019-10-02T12:00:00Z|PerceptiLabs|https://github.com/Tufin/orca-operator|4.6|||||yes|yes||beta|
percona-server-mongodb-operator.v1.3.0|1.3.0|false|2019-12-11T11:35:26.000Z|Percona|https://github.com/percona/percona-server-mongodb-operator|4.6|v0.17.1|golang|||||yes||
